,H25_sex,delta_incident_rate,H25_age
244,1.0,-0.642,3
245,1.0,-0.641,1
246,1.0,-0.639,3
247,1.0,-0.638,2
248,1.0,-0.637,1
249,1.0,-0.634,1
250,1.0,-0.631,1
251,1.0,-0.63,1
252,1.0,-0.629,2
253,1.0,-0.623,1
254,1.0,-0.622,1
255,1.0,-0.621,3
256,1.0,-0.62,1
257,1.0,-0.616,1
258,1.0,-0.608,2
259,1.0,-0.606,1
260,1.0,-0.605,1
261,1.0,-0.604,1
262,1.0,-0.601,1
263,1.0,-0.599,1
264,1.0,-0.598,1
265,1.0,-0.597,1
266,1.0,-0.596,1
267,1.0,-0.593,3
268,1.0,-0.592,1
269,1.0,-0.59,1
270,1.0,-0.589,1
271,1.0,-0.588,2
272,1.0,-0.586,2
273,1.0,-0.584,1
274,1.0,-0.583,1
275,1.0,-0.581,2
276,1.0,-0.579,1
277,1.0,-0.577,2
278,1.0,-0.574,1
279,1.0,-0.572,1
280,1.0,-0.57,1
281,1.0,-0.569,2
282,1.0,-0.566,3
283,1.0,-0.564,2
284,1.0,-0.563,2
285,1.0,-0.561,1
286,1.0,-0.56,2
287,1.0,-0.559,1
288,1.0,-0.558,3
289,1.0,-0.557,2
290,1.0,-0.556,2
291,1.0,-0.555,1
292,1.0,-0.554,3
293,1.0,-0.553,1
294,1.0,-0.551,1
295,1.0,-0.55,2
296,1.0,-0.548,1
297,1.0,-0.545,1
298,1.0,-0.544,1
299,1.0,-0.542,1
300,1.0,-0.541,2
301,1.0,-0.54,2
302,1.0,-0.538,2
303,1.0,-0.535,2
304,1.0,-0.534,2
305,1.0,-0.533,3
306,1.0,-0.532,1
307,1.0,-0.531,1
308,1.0,-0.53,1
309,1.0,-0.528,1
310,1.0,-0.527,1
311,1.0,-0.526,2
312,1.0,-0.524,5
313,1.0,-0.523,2
314,1.0,-0.522,2
315,1.0,-0.521,1
316,1.0,-0.519,2
317,1.0,-0.518,1
318,1.0,-0.517,2
319,1.0,-0.515,1
320,1.0,-0.513,2
321,1.0,-0.512,1
322,1.0,-0.511,1
323,1.0,-0.509,3
324,1.0,-0.508,1
325,1.0,-0.507,4
326,1.0,-0.506,1
327,1.0,-0.505,1
328,1.0,-0.504,1
329,1.0,-0.503,1
330,1.0,-0.501,1
331,1.0,-0.498,2
332,1.0,-0.495,1
333,1.0,-0.494,1
334,1.0,-0.493,4
335,1.0,-0.492,1
336,1.0,-0.491,2
337,1.0,-0.488,1
338,1.0,-0.487,3
339,1.0,-0.486,3
340,1.0,-0.485,3
341,1.0,-0.484,2
342,1.0,-0.482,2
343,1.0,-0.481,3
344,1.0,-0.48,3
345,1.0,-0.479,3
346,1.0,-0.478,3
347,1.0,-0.477,1
348,1.0,-0.476,1
349,1.0,-0.475,3
350,1.0,-0.474,4
351,1.0,-0.473,4
352,1.0,-0.471,3
353,1.0,-0.47,1
354,1.0,-0.469,1
355,1.0,-0.468,4
356,1.0,-0.467,1
357,1.0,-0.466,1
358,1.0,-0.465,2
359,1.0,-0.464,4
360,1.0,-0.463,1
361,1.0,-0.462,2
362,1.0,-0.461,4
363,1.0,-0.46,4
364,1.0,-0.459,3
365,1.0,-0.458,2
366,1.0,-0.457,3
367,1.0,-0.456,2
368,1.0,-0.453,2
369,1.0,-0.452,3
370,1.0,-0.451,3
371,1.0,-0.45,3
372,1.0,-0.447,2
373,1.0,-0.446,2
374,1.0,-0.445,3
375,1.0,-0.443,3
376,1.0,-0.442,2
377,1.0,-0.44,1
378,1.0,-0.439,5
379,1.0,-0.438,1
380,1.0,-0.437,1
381,1.0,-0.436,3
382,1.0,-0.435,2
383,1.0,-0.434,3
384,1.0,-0.433,2
385,1.0,-0.432,1
386,1.0,-0.431,4
387,1.0,-0.43,1
388,1.0,-0.429,2
389,1.0,-0.428,2
390,1.0,-0.427,1
391,1.0,-0.426,5
392,1.0,-0.425,6
393,1.0,-0.424,1
394,1.0,-0.423,1
395,1.0,-0.422,1
396,1.0,-0.421,2
397,1.0,-0.42,2
398,1.0,-0.419,1
399,1.0,-0.417,2
400,1.0,-0.416,5
401,1.0,-0.415,2
402,1.0,-0.414,2
403,1.0,-0.413,4
404,1.0,-0.412,1
405,1.0,-0.411,4
406,1.0,-0.41,3
407,1.0,-0.409,3
408,1.0,-0.408,5
409,1.0,-0.407,2
410,1.0,-0.406,2
411,1.0,-0.405,2
412,1.0,-0.404,2
413,1.0,-0.403,3
