feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
H25_age,2684.8970437049866,3018.595850944519,2762.6205172538757,3093.7987065315247,2882.942070007324,2888.570837688446
H25_sex,34.26272964477539,46.0523099899292,38.210750579833984,73.02683973312378,20.884250164031982,42.487376022338864
H25_bmi,1494.5694832801819,1685.4504251480103,1613.6880521774292,1575.578936100006,1419.0694633722305,1557.6712720155715
H25_dbp,8455.373094320297,7556.560310125351,9630.11986207962,8424.110492229462,6680.445075273514,8149.321766805649
H25_sbp,6026.884704709053,6614.030124902725,4007.8861825466156,5814.965691328049,7750.969057559967,6042.947152209282
H25_lhrate,517.5478683710098,570.7621109485626,556.7464497089386,512.2283079624176,625.1898409128189,556.4949155807495
H25_a1c,825.8614881038666,546.4448834657669,723.1686005592346,690.0241005420685,614.4833228588104,679.9964791059494
H25_dm,204.9097719192505,120.29479789733887,134.97110104560852,211.52499771118164,198.87630081176758,174.11539387702942
H25_dl,477.7444586753845,516.3813080787659,550.7323005199432,591.4140138626099,558.7119660377502,538.9968094348908
