,H25_sex,delta_incident_rate,H25_age
0,1.0,-0.566,1
1,1.0,-0.557,1
2,1.0,-0.527,1
3,1.0,-0.513,1
4,1.0,-0.5,1
5,1.0,-0.496,1
6,1.0,-0.476,1
7,1.0,-0.47,1
8,1.0,-0.454,1
9,1.0,-0.436,1
10,1.0,-0.435,1
11,1.0,-0.431,1
12,1.0,-0.421,1
13,1.0,-0.413,1
14,1.0,-0.411,1
15,1.0,-0.406,1
16,1.0,-0.396,1
17,1.0,-0.392,1
18,1.0,-0.39,1
19,1.0,-0.38,1
20,1.0,-0.378,1
21,1.0,-0.371,1
22,1.0,-0.369,1
23,1.0,-0.367,1
24,1.0,-0.366,1
25,1.0,-0.358,1
26,1.0,-0.357,1
27,1.0,-0.353,1
28,1.0,-0.347,1
29,1.0,-0.341,1
30,1.0,-0.339,1
31,1.0,-0.338,1
32,1.0,-0.33,1
33,1.0,-0.322,1
34,1.0,-0.316,1
35,1.0,-0.311,2
36,1.0,-0.309,1
37,1.0,-0.308,2
38,1.0,-0.307,1
39,1.0,-0.306,1
40,1.0,-0.3,1
41,1.0,-0.296,1
42,1.0,-0.295,2
43,1.0,-0.29,1
44,1.0,-0.288,1
45,1.0,-0.287,3
46,1.0,-0.285,1
47,1.0,-0.284,1
48,1.0,-0.282,1
49,1.0,-0.281,2
50,1.0,-0.278,2
51,1.0,-0.277,1
52,1.0,-0.276,1
53,1.0,-0.273,1
54,1.0,-0.268,1
55,1.0,-0.265,1
56,1.0,-0.263,2
57,1.0,-0.262,1
58,1.0,-0.261,2
59,1.0,-0.26,3
60,1.0,-0.258,2
61,1.0,-0.257,3
62,1.0,-0.255,1
63,1.0,-0.253,2
64,1.0,-0.25,1
65,1.0,-0.249,1
66,1.0,-0.248,2
67,1.0,-0.247,1
68,1.0,-0.244,1
69,1.0,-0.239,1
70,1.0,-0.237,1
71,1.0,-0.235,3
72,1.0,-0.234,2
73,1.0,-0.233,1
74,1.0,-0.231,1
75,1.0,-0.23,3
76,1.0,-0.229,1
77,1.0,-0.228,2
78,1.0,-0.227,2
79,1.0,-0.226,1
80,1.0,-0.225,1
81,1.0,-0.224,1
82,1.0,-0.223,1
83,1.0,-0.222,3
84,1.0,-0.22,3
85,1.0,-0.217,1
86,1.0,-0.216,3
87,1.0,-0.215,2
88,1.0,-0.214,1
89,1.0,-0.212,1
90,1.0,-0.211,1
91,1.0,-0.21,1
92,1.0,-0.209,1
93,1.0,-0.208,5
94,1.0,-0.207,1
95,1.0,-0.206,1
96,1.0,-0.205,2
97,1.0,-0.204,2
98,1.0,-0.203,5
99,1.0,-0.202,4
100,1.0,-0.201,4
101,1.0,-0.2,4
102,1.0,-0.199,2
