feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
H25_age,2645.184789657593,2458.6547107696533,2869.926918029785,2542.0370960235596,2822.2854080200195,2667.617784500122
H25_sex,168.34320259094238,115.65940189361572,209.17069911956787,93.8518009185791,55.387699127197266,128.48256072998046
H25_bmi,833.2292995452881,667.1537961959839,843.5180025100708,781.763503074646,774.8295001983643,780.0988203048706
H25_dbp,358.51599884033203,142.57489776611328,314.01499462127686,485.08300495147705,359.6524963378906,331.968278503418
H25_sbp,406.4937992095947,495.2910041809082,326.5951976776123,509.6535062789917,389.78660011291504,425.5640214920044
H25_lhrate,6502.909684181213,5881.44219493866,6125.209867477417,6002.655040740967,5970.903039932251,6096.623965454101
H25_a1c,1336.720293045044,1217.0993041992188,984.0131130218506,1430.7029151916504,1275.5510969161987,1248.8173444747924
H25_ht,123.06870079040527,283.3440942764282,225.70639896392822,319.7588014602661,288.569296836853,248.08945846557617
H25_dm,0.0,0.0,0.0,0.0,0.0,0.0
