,H25_sex,delta_average,H25_age
0,1.0,-0.00844,1
1,1.0,-0.00803,1
2,1.0,-0.00765,1
3,1.0,-0.00761,1
4,1.0,-0.00759,1
5,1.0,-0.00735,1
6,1.0,-0.0073,1
7,1.0,-0.00723,1
8,1.0,-0.00716,1
9,1.0,-0.00715,1
10,1.0,-0.00698,1
11,1.0,-0.00695,1
12,1.0,-0.00679,1
13,1.0,-0.00667,1
14,1.0,-0.00665,1
15,1.0,-0.00653,1
16,1.0,-0.00644,1
17,1.0,-0.00643,1
18,1.0,-0.0064,1
19,1.0,-0.00635,2
20,1.0,-0.00627,1
21,1.0,-0.00626,1
22,1.0,-0.00617,1
23,1.0,-0.00604,1
24,1.0,-0.00601,1
25,1.0,-0.006,2
26,1.0,-0.00593,1
27,1.0,-0.00586,1
28,1.0,-0.0057,1
29,1.0,-0.00563,1
30,1.0,-0.00559,1
31,1.0,-0.00554,1
32,1.0,-0.00553,2
33,1.0,-0.00545,1
34,1.0,-0.00535,1
35,1.0,-0.00533,1
36,1.0,-0.00531,2
37,1.0,-0.00526,1
38,1.0,-0.0052,1
39,1.0,-0.0051,1
40,1.0,-0.00508,1
41,1.0,-0.00507,1
42,1.0,-0.00506,1
43,1.0,-0.00504,1
44,1.0,-0.005,1
45,1.0,-0.00499,1
46,1.0,-0.00497,1
47,1.0,-0.00491,1
48,1.0,-0.0049,1
49,1.0,-0.00489,1
50,1.0,-0.00486,2
51,1.0,-0.00485,2
52,1.0,-0.00478,1
53,1.0,-0.00476,4
54,1.0,-0.00474,3
55,1.0,-0.0047,2
56,1.0,-0.00464,1
57,1.0,-0.00463,1
58,1.0,-0.00462,1
59,1.0,-0.0046,1
60,1.0,-0.00459,1
61,1.0,-0.00456,1
62,1.0,-0.00455,1
63,1.0,-0.00454,1
64,1.0,-0.00452,2
65,1.0,-0.00451,2
66,1.0,-0.00449,1
67,1.0,-0.00448,1
68,1.0,-0.00447,1
69,1.0,-0.00446,1
70,1.0,-0.00444,2
71,1.0,-0.00443,1
72,1.0,-0.00441,1
73,1.0,-0.0044,1
74,1.0,-0.00439,4
75,1.0,-0.00437,1
76,1.0,-0.00435,1
77,1.0,-0.00434,2
78,1.0,-0.00433,1
79,1.0,-0.00432,2
80,1.0,-0.0043,1
81,1.0,-0.00429,1
82,1.0,-0.00428,1
83,1.0,-0.00427,1
84,1.0,-0.00424,1
85,1.0,-0.00423,1
86,1.0,-0.00421,1
87,1.0,-0.00419,1
88,1.0,-0.00417,1
89,1.0,-0.00416,1
90,1.0,-0.00415,1
91,1.0,-0.00414,2
92,1.0,-0.00412,2
93,1.0,-0.00408,1
94,1.0,-0.00406,2
95,1.0,-0.00405,1
96,1.0,-0.00404,4
97,1.0,-0.00403,1
98,1.0,-0.00402,1
99,1.0,-0.00401,1
100,1.0,-0.00399,2
101,1.0,-0.00398,1
102,1.0,-0.00397,2
103,1.0,-0.00395,2
104,1.0,-0.00393,2
105,1.0,-0.00391,4
106,1.0,-0.0039,1
107,1.0,-0.00389,1
108,1.0,-0.00388,2
109,1.0,-0.00385,1
110,1.0,-0.00384,2
111,1.0,-0.00383,3
112,1.0,-0.00382,1
113,1.0,-0.00379,1
114,1.0,-0.00378,1
115,1.0,-0.00377,2
116,1.0,-0.00376,1
117,1.0,-0.00375,1
118,1.0,-0.00374,2
119,1.0,-0.0037,1
120,1.0,-0.00369,1
121,1.0,-0.00365,1
122,1.0,-0.00364,1
123,1.0,-0.00363,1
124,1.0,-0.00361,1
125,1.0,-0.0036,3
126,1.0,-0.00359,2
127,1.0,-0.00358,4
128,1.0,-0.00357,2
129,1.0,-0.00356,2
130,1.0,-0.00355,3
131,1.0,-0.00354,2
132,1.0,-0.00353,2
133,1.0,-0.00352,1
134,1.0,-0.00351,2
135,1.0,-0.0035,1
136,1.0,-0.00348,4
137,1.0,-0.00347,1
138,1.0,-0.00345,2
139,1.0,-0.00344,3
140,1.0,-0.00343,4
141,1.0,-0.00342,4
142,1.0,-0.00341,1
143,1.0,-0.0034,1
144,1.0,-0.00339,2
145,1.0,-0.00338,4
146,1.0,-0.00337,2
147,1.0,-0.00336,3
148,1.0,-0.00335,2
149,1.0,-0.00333,3
150,1.0,-0.00332,2
151,1.0,-0.00331,2
152,1.0,-0.0033,1
153,1.0,-0.00329,3
154,1.0,-0.00328,3
155,1.0,-0.00327,1
156,1.0,-0.00326,1
157,1.0,-0.00325,2
158,1.0,-0.00324,1
159,1.0,-0.00323,1
160,1.0,-0.0032,3
161,1.0,-0.00319,6
162,1.0,-0.00318,2
163,1.0,-0.00317,1
164,1.0,-0.00316,1
165,1.0,-0.00315,2
166,1.0,-0.00314,4
167,1.0,-0.00313,5
168,1.0,-0.00312,4
169,1.0,-0.00311,6
170,1.0,-0.0031,4
171,1.0,-0.00309,2
172,1.0,-0.00308,2
173,1.0,-0.00307,1
174,1.0,-0.00306,7
175,1.0,-0.00305,2
176,1.0,-0.00304,1
