,H25_sex,rate_incident_rate,H25_age
0,1.0,0.785,1
1,1.0,0.815,1
2,1.0,0.825,1
3,1.0,0.83,1
4,1.0,0.834,1
5,1.0,0.836,1
6,1.0,0.839,1
7,1.0,0.84,1
8,1.0,0.843,2
9,1.0,0.845,1
10,1.0,0.847,3
11,1.0,0.848,1
12,1.0,0.852,1
13,1.0,0.853,1
14,1.0,0.856,1
15,1.0,0.857,1
16,1.0,0.859,2
17,1.0,0.861,1
18,1.0,0.862,2
19,1.0,0.863,2
20,1.0,0.865,3
21,1.0,0.867,4
22,1.0,0.868,3
23,1.0,0.869,1
24,1.0,0.87,2
25,1.0,0.871,2
26,1.0,0.872,2
27,1.0,0.874,3
28,1.0,0.875,3
29,1.0,0.877,3
30,1.0,0.878,6
31,1.0,0.879,3
32,1.0,0.88,3
33,1.0,0.881,2
34,1.0,0.882,4
35,1.0,0.883,1
36,1.0,0.884,2
37,1.0,0.885,7
38,1.0,0.886,4
39,1.0,0.887,8
40,1.0,0.888,2
41,1.0,0.889,4
42,1.0,0.89,3
43,1.0,0.891,10
44,1.0,0.892,8
45,1.0,0.893,5
46,1.0,0.894,8
47,1.0,0.895,9
48,1.0,0.896,10
49,1.0,0.897,6
50,1.0,0.898,11
51,1.0,0.899,9
52,1.0,0.9,6
53,1.0,0.901,11
54,1.0,0.902,11
55,1.0,0.903,10
56,1.0,0.904,10
57,1.0,0.905,6
58,1.0,0.906,15
59,1.0,0.907,16
60,1.0,0.908,18
61,1.0,0.909,18
62,1.0,0.91,20
63,1.0,0.911,16
64,1.0,0.912,21
65,1.0,0.913,18
66,1.0,0.914,20
67,1.0,0.915,23
68,1.0,0.916,23
69,1.0,0.917,26
70,1.0,0.918,29
71,1.0,0.919,37
72,1.0,0.92,27
73,1.0,0.921,28
74,1.0,0.922,32
75,1.0,0.923,31
76,1.0,0.924,34
77,1.0,0.925,37
78,1.0,0.926,45
79,1.0,0.927,39
80,1.0,0.928,51
81,1.0,0.929,42
82,1.0,0.93,45
83,1.0,0.931,58
84,1.0,0.932,55
85,1.0,0.933,57
86,1.0,0.934,79
87,1.0,0.935,59
88,1.0,0.936,84
89,1.0,0.937,80
90,1.0,0.938,80
91,1.0,0.939,98
92,1.0,0.94,119
93,1.0,0.941,97
94,1.0,0.942,84
95,1.0,0.943,102
96,1.0,0.944,108
97,1.0,0.945,126
98,1.0,0.946,136
99,1.0,0.947,124
100,1.0,0.948,148
101,1.0,0.949,168
102,1.0,0.95,139
103,1.0,0.951,162
104,1.0,0.952,195
105,1.0,0.953,205
106,1.0,0.954,197
107,1.0,0.955,223
