feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
H25_age,152.63122034072876,114.68696022033691,224.35428667068481,111.76230812072754,214.0127501487732,163.48950510025026
H25_sex,290.4810309410095,194.10387802124023,113.73367977142334,223.2407512664795,194.01591777801514,203.11505155563356
H25_bmi,458.1463694572449,570.5340838432312,458.1665368080139,544.7930278778076,468.0527286529541,499.93854932785035
H25_dbp,149.25327968597412,188.57836961746216,105.26096963882446,169.9815993309021,193.9627776145935,161.40739917755127
H25_sbp,56.225839614868164,85.73787069320679,126.44479084014893,62.48612070083618,54.33168983459473,77.04526233673096
H25_lhrate,105.26714897155762,159.7718186378479,171.39337062835693,117.52762031555176,206.00901222229004,151.99379415512084
H25_a1c,16612.591814517975,16022.421888828278,16019.38352394104,16364.475790023804,15791.136296272278,16162.001862716676
H25_ht,15.626999378204346,56.15345907211304,0.0,0.0,0.0,14.356091690063476
H25_dl,99.99290227890015,174.3714098930359,163.74998998641968,114.64384937286377,214.65995121002197,153.4836205482483
