,H25_sex,delta_average,H25_age
0,1.0,-0.02329,1
1,1.0,-0.02206,1
2,1.0,-0.01991,1
3,1.0,-0.01819,1
4,1.0,-0.01813,1
5,1.0,-0.01797,1
6,1.0,-0.01786,1
7,1.0,-0.01781,1
8,1.0,-0.01725,1
9,1.0,-0.01687,1
10,1.0,-0.01679,1
11,1.0,-0.0166,1
12,1.0,-0.01646,1
13,1.0,-0.01629,1
14,1.0,-0.01599,1
15,1.0,-0.01577,1
16,1.0,-0.01511,1
17,1.0,-0.01492,1
18,1.0,-0.01443,1
19,1.0,-0.01422,1
20,1.0,-0.01421,1
21,1.0,-0.01397,1
22,1.0,-0.01372,1
23,1.0,-0.01365,1
24,1.0,-0.01347,1
25,1.0,-0.01336,2
26,1.0,-0.01332,1
27,1.0,-0.01325,1
28,1.0,-0.01308,1
29,1.0,-0.01277,2
30,1.0,-0.01267,1
31,1.0,-0.0126,1
32,1.0,-0.01251,1
33,1.0,-0.01245,1
34,1.0,-0.01239,1
35,1.0,-0.01232,1
36,1.0,-0.01225,1
37,1.0,-0.01219,1
38,1.0,-0.01208,1
39,1.0,-0.01205,1
40,1.0,-0.012,1
41,1.0,-0.01197,1
42,1.0,-0.01196,2
43,1.0,-0.0119,1
44,1.0,-0.01168,1
45,1.0,-0.01167,1
46,1.0,-0.01153,1
47,1.0,-0.01125,1
48,1.0,-0.01123,1
49,1.0,-0.01117,1
50,1.0,-0.01109,1
51,1.0,-0.011,1
52,1.0,-0.01099,1
53,1.0,-0.01082,1
54,1.0,-0.01073,1
55,1.0,-0.0107,1
56,1.0,-0.01068,2
57,1.0,-0.0106,1
58,1.0,-0.01043,2
59,1.0,-0.01015,1
60,1.0,-0.01009,2
61,1.0,-0.00992,1
62,1.0,-0.00987,1
63,1.0,-0.00985,1
64,1.0,-0.00982,1
65,1.0,-0.0098,1
66,1.0,-0.00975,1
67,1.0,-0.00972,1
68,1.0,-0.00969,1
69,1.0,-0.00967,1
70,1.0,-0.00953,1
71,1.0,-0.00939,1
72,1.0,-0.00938,1
73,1.0,-0.00929,1
74,1.0,-0.00928,1
75,1.0,-0.0092,1
76,1.0,-0.00907,1
77,1.0,-0.00906,1
78,1.0,-0.00903,1
79,1.0,-0.00901,1
80,1.0,-0.009,1
81,1.0,-0.00899,1
82,1.0,-0.0089,1
83,1.0,-0.00889,1
84,1.0,-0.00887,1
85,1.0,-0.00885,1
86,1.0,-0.00884,1
87,1.0,-0.00879,1
88,1.0,-0.00867,2
89,1.0,-0.00864,1
90,1.0,-0.00859,1
91,1.0,-0.00858,2
92,1.0,-0.00856,2
93,1.0,-0.00854,1
94,1.0,-0.00851,1
95,1.0,-0.00841,1
96,1.0,-0.00837,1
97,1.0,-0.00834,1
98,1.0,-0.0083,1
99,1.0,-0.00827,3
100,1.0,-0.00819,1
101,1.0,-0.00813,1
102,1.0,-0.00812,2
103,1.0,-0.00811,1
104,1.0,-0.00809,1
105,1.0,-0.00806,1
106,1.0,-0.00805,1
107,1.0,-0.00804,1
108,1.0,-0.00801,1
109,1.0,-0.00795,1
110,1.0,-0.00793,1
111,1.0,-0.0079,1
112,1.0,-0.00782,1
113,1.0,-0.0078,1
114,1.0,-0.00778,1
115,1.0,-0.00777,2
116,1.0,-0.00774,1
117,1.0,-0.00773,1
118,1.0,-0.0077,1
119,1.0,-0.00769,1
120,1.0,-0.00763,1
121,1.0,-0.00761,2
122,1.0,-0.00759,1
123,1.0,-0.00758,1
124,1.0,-0.00756,1
125,1.0,-0.0075,1
126,1.0,-0.00746,1
127,1.0,-0.00743,1
128,1.0,-0.00739,1
129,1.0,-0.00734,1
130,1.0,-0.00733,1
131,1.0,-0.0073,1
132,1.0,-0.00729,1
133,1.0,-0.00727,3
134,1.0,-0.00726,3
135,1.0,-0.00723,1
136,1.0,-0.00718,1
137,1.0,-0.00717,1
138,1.0,-0.0071,2
139,1.0,-0.00704,1
140,1.0,-0.00702,1
141,1.0,-0.00694,1
142,1.0,-0.0068,2
143,1.0,-0.00673,2
144,1.0,-0.00672,2
145,1.0,-0.00671,1
146,1.0,-0.0067,1
147,1.0,-0.00669,2
148,1.0,-0.0066,1
149,1.0,-0.00659,1
150,1.0,-0.00657,1
151,1.0,-0.00649,1
152,1.0,-0.0064,3
153,1.0,-0.00639,1
154,1.0,-0.00637,1
155,1.0,-0.00636,1
156,1.0,-0.00635,1
157,1.0,-0.00634,1
158,1.0,-0.00632,1
159,1.0,-0.00631,1
160,1.0,-0.00629,1
161,1.0,-0.00627,1
162,1.0,-0.00626,2
163,1.0,-0.00625,1
164,1.0,-0.00619,1
165,1.0,-0.00617,2
166,1.0,-0.00615,1
167,1.0,-0.00613,1
168,1.0,-0.00612,1
169,1.0,-0.00608,1
170,1.0,-0.00606,1
171,1.0,-0.00605,2
172,1.0,-0.00603,1
173,1.0,-0.006,2
174,1.0,-0.00594,1
175,1.0,-0.00591,1
176,1.0,-0.0059,1
177,1.0,-0.00589,1
178,1.0,-0.00585,1
179,1.0,-0.00581,1
180,1.0,-0.00578,1
181,1.0,-0.00576,2
182,1.0,-0.00575,2
183,1.0,-0.00574,1
184,1.0,-0.00572,1
185,1.0,-0.0057,1
186,1.0,-0.00568,1
187,1.0,-0.00565,1
188,1.0,-0.00564,1
189,1.0,-0.00562,1
190,1.0,-0.00561,2
191,1.0,-0.0056,2
192,1.0,-0.00557,1
193,1.0,-0.00552,2
194,1.0,-0.00551,1
195,1.0,-0.00549,3
196,1.0,-0.00547,1
197,1.0,-0.00546,2
198,1.0,-0.00542,1
199,1.0,-0.00538,1
200,1.0,-0.00536,3
201,1.0,-0.00535,1
202,1.0,-0.00534,1
203,1.0,-0.00529,1
204,1.0,-0.00528,1
205,1.0,-0.00525,1
206,1.0,-0.00523,1
207,1.0,-0.00522,1
208,1.0,-0.00521,1
209,1.0,-0.0052,1
210,1.0,-0.00515,2
211,1.0,-0.00514,2
212,1.0,-0.00513,2
213,1.0,-0.00512,1
214,1.0,-0.00511,1
215,1.0,-0.0051,2
216,1.0,-0.00509,2
217,1.0,-0.00508,1
218,1.0,-0.00507,1
219,1.0,-0.00506,2
220,1.0,-0.00504,1
221,1.0,-0.00503,1
222,1.0,-0.00499,3
223,1.0,-0.00498,1
224,1.0,-0.00497,2
225,1.0,-0.00496,2
226,1.0,-0.00495,1
227,1.0,-0.00494,1
228,1.0,-0.00493,1
229,1.0,-0.00492,1
230,1.0,-0.00491,4
231,1.0,-0.0049,1
232,1.0,-0.00489,1
233,1.0,-0.00488,2
234,1.0,-0.00487,2
235,1.0,-0.00486,1
236,1.0,-0.00485,3
237,1.0,-0.00482,1
238,1.0,-0.0048,2
239,1.0,-0.00478,3
240,1.0,-0.00477,1
241,1.0,-0.00476,1
242,1.0,-0.00475,2
243,1.0,-0.00472,1
244,1.0,-0.0047,2
245,1.0,-0.00467,3
246,1.0,-0.00466,2
247,1.0,-0.00462,3
248,1.0,-0.00461,1
249,1.0,-0.00459,1
250,1.0,-0.00455,3
251,1.0,-0.00454,1
252,1.0,-0.00449,1
253,1.0,-0.00448,1
254,1.0,-0.00446,4
255,1.0,-0.00445,1
256,1.0,-0.00443,2
257,1.0,-0.00442,2
258,1.0,-0.00441,3
259,1.0,-0.00439,3
260,1.0,-0.00438,1
261,1.0,-0.00437,1
262,1.0,-0.00436,1
263,1.0,-0.00434,1
264,1.0,-0.00432,5
265,1.0,-0.00431,1
266,1.0,-0.0043,1
267,1.0,-0.00429,2
268,1.0,-0.00428,2
269,1.0,-0.00426,1
270,1.0,-0.00419,2
271,1.0,-0.00418,1
272,1.0,-0.00416,1
273,1.0,-0.00414,2
274,1.0,-0.00413,1
275,1.0,-0.00412,1
276,1.0,-0.00411,3
277,1.0,-0.0041,3
278,1.0,-0.00409,2
279,1.0,-0.00408,2
