feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
H25_age,2473.788600921631,2535.8185901641846,2855.246795654297,2666.1706161499023,2771.412401199341,2660.4874008178713
H25_sex,100.13190078735352,129.58269691467285,165.09220123291016,139.56169986724854,186.2110996246338,144.11591968536376
H25_bmi,773.7340984344482,938.236086845398,788.2266979217529,559.9350957870483,761.0624027252197,764.2388763427734
H25_dbp,529.9556980133057,348.48920154571533,227.40479850769043,308.6828031539917,431.6805019378662,369.24260063171386
H25_sbp,393.11619567871094,450.8750009536743,345.9772005081177,348.55660247802734,351.7816038131714,378.0613206863403
H25_lhrate,6438.098501205444,5715.61155796051,6409.50181388855,5983.0685567855835,5975.000476837158,6104.25618133545
H25_a1c,1256.1472187042236,1090.9910926818848,1160.4566049575806,1450.7888050079346,1262.3167943954468,1244.140103149414
H25_ht,306.43229961395264,260.597692489624,123.27549743652344,255.29959774017334,307.7123031616211,250.6634780883789
H25_dm,0.0,0.0,0.0,0.0,0.0,0.0
