feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
H25_age,2801.238079547882,3078.1381845474243,3076.8614909648895,2811.802052974701,2480.5308858156204,2849.7141387701035
H25_sex,53.98773956298828,25.379180431365967,29.603310585021973,25.31587028503418,54.74140024185181,37.805500221252444
H25_bmi,1692.299209356308,1308.9052011966705,1836.0261557102203,1673.5011479854584,1531.2921922206879,1608.404781293869
H25_dbp,5721.7123465538025,9412.595619440079,6342.379694223404,9196.173260450363,10556.24822485447,8245.821829104423
H25_sbp,8101.074644804001,5188.086814880371,7932.053684949875,4632.006381750107,3951.4644668102264,5960.937198638916
H25_lhrate,596.6484122276306,443.74812054634094,511.4111876487732,449.4467098712921,609.8415327072144,522.2191926002503
H25_a1c,738.5966022014618,621.6289713382721,484.1089518070221,828.5308327674866,629.8753114938736,660.5481339216233
H25_dm,140.7680196762085,70.48616886138916,207.37752199172974,276.29268407821655,156.01370811462402,170.1876205444336
H25_dl,649.9610314369202,495.61984848976135,622.9761769771576,353.3177785873413,652.1125655174255,554.7974802017212
