,H25_sex,delta_average,H25_age
0,1.0,-0.04861,1
1,1.0,-0.03557,1
2,1.0,-0.03336,1
3,1.0,-0.03303,1
4,1.0,-0.03194,1
5,1.0,-0.02823,1
6,1.0,-0.02821,1
7,1.0,-0.0267,1
8,1.0,-0.02599,1
9,1.0,-0.02448,1
10,1.0,-0.02346,1
11,1.0,-0.02294,1
12,1.0,-0.02246,1
13,1.0,-0.02215,1
14,1.0,-0.02179,1
15,1.0,-0.0215,1
16,1.0,-0.02139,1
17,1.0,-0.02118,1
18,1.0,-0.02109,1
19,1.0,-0.02068,1
20,1.0,-0.02057,1
21,1.0,-0.02054,1
22,1.0,-0.02043,1
23,1.0,-0.02001,1
24,1.0,-0.01968,2
25,1.0,-0.01919,1
26,1.0,-0.01905,1
27,1.0,-0.01793,1
28,1.0,-0.01791,1
29,1.0,-0.01787,1
30,1.0,-0.01767,1
31,1.0,-0.01742,1
32,1.0,-0.01734,1
33,1.0,-0.01723,1
34,1.0,-0.01694,1
35,1.0,-0.01666,1
36,1.0,-0.01659,1
37,1.0,-0.01643,1
38,1.0,-0.01624,1
39,1.0,-0.0161,1
40,1.0,-0.01609,1
41,1.0,-0.01585,1
42,1.0,-0.01567,1
43,1.0,-0.01561,1
44,1.0,-0.0155,1
45,1.0,-0.01534,1
46,1.0,-0.0153,1
47,1.0,-0.01513,1
48,1.0,-0.01508,1
49,1.0,-0.01494,1
50,1.0,-0.01485,1
51,1.0,-0.01468,1
52,1.0,-0.01456,1
53,1.0,-0.01455,1
54,1.0,-0.01452,1
55,1.0,-0.01449,2
56,1.0,-0.01438,2
57,1.0,-0.01428,1
58,1.0,-0.01421,2
59,1.0,-0.01416,1
60,1.0,-0.01406,1
61,1.0,-0.01397,1
62,1.0,-0.0139,1
63,1.0,-0.01384,1
64,1.0,-0.01382,1
65,1.0,-0.01367,1
66,1.0,-0.01352,1
67,1.0,-0.01348,1
68,1.0,-0.01332,1
69,1.0,-0.01323,2
70,1.0,-0.01316,1
71,1.0,-0.01307,1
72,1.0,-0.01299,1
73,1.0,-0.01293,2
74,1.0,-0.01288,2
75,1.0,-0.01281,1
76,1.0,-0.01275,1
77,1.0,-0.01273,1
78,1.0,-0.01272,1
79,1.0,-0.0127,1
80,1.0,-0.01259,1
81,1.0,-0.01256,2
82,1.0,-0.01247,1
83,1.0,-0.01242,1
84,1.0,-0.0124,1
85,1.0,-0.01239,1
86,1.0,-0.01238,1
87,1.0,-0.01225,1
88,1.0,-0.01222,2
89,1.0,-0.01219,1
90,1.0,-0.01218,1
91,1.0,-0.0121,1
92,1.0,-0.01205,1
93,1.0,-0.012,1
94,1.0,-0.01198,1
95,1.0,-0.01196,1
96,1.0,-0.01187,1
97,1.0,-0.01186,1
98,1.0,-0.01184,1
99,1.0,-0.01183,1
100,1.0,-0.01165,1
101,1.0,-0.01159,1
102,1.0,-0.01155,2
103,1.0,-0.01154,1
104,1.0,-0.01151,1
105,1.0,-0.01146,1
106,1.0,-0.01145,1
107,1.0,-0.01142,2
108,1.0,-0.01141,1
109,1.0,-0.01139,1
110,1.0,-0.01138,1
111,1.0,-0.01137,1
112,1.0,-0.01135,1
113,1.0,-0.01133,1
114,1.0,-0.01132,3
115,1.0,-0.01126,1
116,1.0,-0.01125,1
117,1.0,-0.01124,1
118,1.0,-0.01123,1
119,1.0,-0.01121,1
120,1.0,-0.0112,2
121,1.0,-0.01117,1
122,1.0,-0.01115,1
123,1.0,-0.01113,2
124,1.0,-0.01111,1
125,1.0,-0.0111,2
126,1.0,-0.01107,1
127,1.0,-0.01105,1
128,1.0,-0.01097,1
129,1.0,-0.01096,1
130,1.0,-0.01093,1
131,1.0,-0.01088,1
132,1.0,-0.01081,1
133,1.0,-0.01076,1
134,1.0,-0.01073,2
135,1.0,-0.01069,2
136,1.0,-0.01068,1
137,1.0,-0.01062,1
138,1.0,-0.01053,2
139,1.0,-0.01049,1
140,1.0,-0.01039,1
141,1.0,-0.01035,1
142,1.0,-0.0103,1
143,1.0,-0.01026,1
144,1.0,-0.0102,1
145,1.0,-0.01019,1
146,1.0,-0.01017,1
147,1.0,-0.01016,2
148,1.0,-0.01015,1
149,1.0,-0.01013,1
150,1.0,-0.01012,2
151,1.0,-0.01007,1
152,1.0,-0.01006,1
153,1.0,-0.01005,1
154,1.0,-0.01003,1
155,1.0,-0.01001,3
156,1.0,-0.00999,1
157,1.0,-0.00996,1
158,1.0,-0.00995,1
159,1.0,-0.00994,1
160,1.0,-0.0099,1
161,1.0,-0.00981,1
162,1.0,-0.00977,1
163,1.0,-0.00969,1
164,1.0,-0.00965,1
165,1.0,-0.00963,2
166,1.0,-0.00959,1
167,1.0,-0.00956,1
168,1.0,-0.00953,1
169,1.0,-0.0095,1
170,1.0,-0.00947,1
171,1.0,-0.00939,1
172,1.0,-0.00937,1
173,1.0,-0.00936,2
174,1.0,-0.00932,1
175,1.0,-0.00929,2
176,1.0,-0.00928,2
177,1.0,-0.00923,1
178,1.0,-0.00911,1
179,1.0,-0.0091,1
180,1.0,-0.00909,1
181,1.0,-0.00908,2
182,1.0,-0.00902,1
183,1.0,-0.00901,2
184,1.0,-0.009,2
185,1.0,-0.00897,1
186,1.0,-0.00891,1
187,1.0,-0.00889,1
188,1.0,-0.00888,2
189,1.0,-0.00884,1
190,1.0,-0.00881,1
191,1.0,-0.00878,1
192,1.0,-0.00876,1
193,1.0,-0.00872,1
194,1.0,-0.0087,1
195,1.0,-0.00869,1
196,1.0,-0.00868,1
197,1.0,-0.00865,1
198,1.0,-0.00862,1
199,1.0,-0.00861,1
200,1.0,-0.0086,1
201,1.0,-0.00851,1
202,1.0,-0.00845,1
203,1.0,-0.00842,1
204,1.0,-0.00841,1
205,1.0,-0.0084,1
206,1.0,-0.00836,1
207,1.0,-0.00833,1
208,1.0,-0.00831,1
209,1.0,-0.00829,1
210,1.0,-0.00827,1
211,1.0,-0.00826,1
212,1.0,-0.00825,1
213,1.0,-0.00821,1
214,1.0,-0.0082,1
215,1.0,-0.00816,1
216,1.0,-0.00815,1
217,1.0,-0.00813,1
218,1.0,-0.0081,1
219,1.0,-0.00809,2
220,1.0,-0.00808,2
221,1.0,-0.00807,3
222,1.0,-0.00803,1
223,1.0,-0.008,2
224,1.0,-0.00799,1
225,1.0,-0.00798,1
226,1.0,-0.00797,1
227,1.0,-0.00796,1
228,1.0,-0.00794,1
229,1.0,-0.00793,1
230,1.0,-0.00792,2
231,1.0,-0.00789,4
232,1.0,-0.00787,1
233,1.0,-0.00786,1
234,1.0,-0.00785,2
235,1.0,-0.00784,2
236,1.0,-0.00783,1
237,1.0,-0.0078,1
238,1.0,-0.00779,1
239,1.0,-0.00776,1
240,1.0,-0.00775,1
241,1.0,-0.0077,1
242,1.0,-0.00768,1
