feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
H25_age,3091.565041780472,3017.8155386447906,2865.2334681749344,2759.321908712387,2680.7950654029846,2882.9462045431137
H25_sex,55.9369010925293,29.651100158691406,10.104540348052979,4.828480005264282,38.808940410614014,27.865992403030397
H25_bmi,1831.226087808609,1442.3618413209915,1683.8141894340515,1504.175600528717,1300.0322035551071,1552.3219845294952
H25_dbp,6691.234535932541,5413.191235780716,7791.881635665894,9571.763708114624,9965.363349199295,7886.686892938614
H25_sbp,7559.148751735687,8896.835654973984,5854.3903431892395,4654.912247657776,4973.760106086731,6387.809420728683
H25_lhrate,503.89285039901733,630.7520384788513,479.17843866348267,558.5790321826935,677.2265818119049,569.9257883071899
H25_a1c,535.3722999095917,702.1474369764328,881.0191286802292,680.0883128643036,620.9921215772629,683.923860001564
H25_dm,248.77872562408447,31.24676012992859,174.20777106285095,198.91942071914673,159.61292600631714,162.55312070846557
H25_dl,424.8106300830841,393.7230615615845,533.5249412059784,556.170063495636,550.6501564979553,491.77577056884763
