,H25_sex,delta_incident_rate,H25_age
0,1.0,-4.319,1
1,1.0,-4.042,1
2,1.0,-3.913,1
3,1.0,-3.891,1
4,1.0,-3.772,1
5,1.0,-3.438,1
6,1.0,-3.375,1
7,1.0,-3.332,1
8,1.0,-3.232,1
9,1.0,-3.187,1
10,1.0,-3.065,1
11,1.0,-2.789,1
12,1.0,-2.777,1
13,1.0,-2.776,1
14,1.0,-2.597,1
15,1.0,-2.591,1
16,1.0,-2.587,1
17,1.0,-2.458,1
18,1.0,-2.43,1
19,1.0,-2.413,1
20,1.0,-2.391,1
21,1.0,-2.378,1
22,1.0,-2.37,1
23,1.0,-2.356,1
24,1.0,-2.354,1
25,1.0,-2.339,1
26,1.0,-2.301,1
27,1.0,-2.298,1
28,1.0,-2.251,1
29,1.0,-2.211,2
30,1.0,-2.188,1
31,1.0,-2.149,1
32,1.0,-2.133,1
33,1.0,-2.109,1
34,1.0,-2.079,1
35,1.0,-2.069,1
36,1.0,-2.023,1
37,1.0,-1.973,1
38,1.0,-1.968,1
39,1.0,-1.942,1
40,1.0,-1.933,1
41,1.0,-1.899,1
42,1.0,-1.89,1
43,1.0,-1.875,1
44,1.0,-1.822,1
45,1.0,-1.775,1
46,1.0,-1.773,1
47,1.0,-1.755,1
48,1.0,-1.751,2
49,1.0,-1.71,1
50,1.0,-1.695,1
51,1.0,-1.694,1
52,1.0,-1.672,1
53,1.0,-1.655,1
54,1.0,-1.65,1
55,1.0,-1.639,2
56,1.0,-1.627,1
57,1.0,-1.615,1
58,1.0,-1.608,1
59,1.0,-1.599,1
60,1.0,-1.588,1
61,1.0,-1.578,1
62,1.0,-1.562,2
63,1.0,-1.546,1
64,1.0,-1.511,1
65,1.0,-1.505,1
66,1.0,-1.494,1
67,1.0,-1.473,1
68,1.0,-1.471,1
69,1.0,-1.469,1
70,1.0,-1.459,1
71,1.0,-1.451,1
72,1.0,-1.436,1
73,1.0,-1.433,1
74,1.0,-1.421,1
75,1.0,-1.411,1
76,1.0,-1.397,1
77,1.0,-1.376,1
78,1.0,-1.369,1
79,1.0,-1.355,1
80,1.0,-1.353,1
81,1.0,-1.346,1
82,1.0,-1.326,1
83,1.0,-1.32,1
84,1.0,-1.316,1
85,1.0,-1.305,1
86,1.0,-1.303,1
87,1.0,-1.3,1
88,1.0,-1.296,1
89,1.0,-1.288,2
90,1.0,-1.284,1
91,1.0,-1.271,1
92,1.0,-1.263,1
93,1.0,-1.256,1
94,1.0,-1.252,1
95,1.0,-1.251,1
96,1.0,-1.23,1
97,1.0,-1.228,1
98,1.0,-1.223,1
99,1.0,-1.206,1
100,1.0,-1.19,1
101,1.0,-1.176,1
102,1.0,-1.153,1
103,1.0,-1.15,1
104,1.0,-1.141,1
105,1.0,-1.134,1
106,1.0,-1.133,1
107,1.0,-1.128,1
108,1.0,-1.127,1
109,1.0,-1.121,1
110,1.0,-1.119,1
111,1.0,-1.118,1
112,1.0,-1.113,2
113,1.0,-1.108,1
114,1.0,-1.104,1
115,1.0,-1.099,1
116,1.0,-1.089,1
117,1.0,-1.078,1
118,1.0,-1.072,1
119,1.0,-1.068,1
120,1.0,-1.067,1
121,1.0,-1.065,1
122,1.0,-1.061,1
123,1.0,-1.06,2
124,1.0,-1.05,1
125,1.0,-1.031,1
126,1.0,-1.026,1
127,1.0,-1.022,2
128,1.0,-1.019,1
129,1.0,-1.009,1
130,1.0,-1.003,2
131,1.0,-0.993,1
132,1.0,-0.987,1
133,1.0,-0.984,1
134,1.0,-0.981,2
135,1.0,-0.978,1
136,1.0,-0.973,2
137,1.0,-0.97,1
138,1.0,-0.967,1
139,1.0,-0.96,1
140,1.0,-0.957,1
141,1.0,-0.954,1
142,1.0,-0.951,1
143,1.0,-0.939,1
144,1.0,-0.937,3
145,1.0,-0.932,1
146,1.0,-0.93,1
147,1.0,-0.929,1
148,1.0,-0.92,1
149,1.0,-0.915,1
150,1.0,-0.91,1
151,1.0,-0.905,1
152,1.0,-0.9,1
153,1.0,-0.898,1
154,1.0,-0.896,2
155,1.0,-0.892,1
156,1.0,-0.891,2
157,1.0,-0.889,1
158,1.0,-0.888,1
159,1.0,-0.887,2
160,1.0,-0.882,1
161,1.0,-0.881,3
162,1.0,-0.878,2
163,1.0,-0.876,1
164,1.0,-0.872,1
165,1.0,-0.871,2
166,1.0,-0.867,2
167,1.0,-0.865,1
168,1.0,-0.862,1
169,1.0,-0.861,1
170,1.0,-0.857,1
171,1.0,-0.851,2
172,1.0,-0.848,2
173,1.0,-0.845,1
174,1.0,-0.838,1
175,1.0,-0.837,2
