feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
H25_age,136.58723068237305,268.77576875686646,127.79438018798828,147.79830932617188,108.74031829833984,157.9392014503479
H25_sex,240.4812717437744,139.9229474067688,198.43034982681274,175.26393938064575,180.78893899917603,186.97748947143555
H25_bmi,471.175190448761,592.796676158905,542.7149639129639,571.7286558151245,447.32031869888306,525.1471610069275
H25_dbp,164.17549085617065,154.51595163345337,173.5383415222168,116.68039989471436,134.21731233596802,148.62549924850464
H25_sbp,61.54400062561035,27.45631980895996,83.42294025421143,58.008501052856445,150.2394404411316,76.13424043655395
H25_lhrate,181.58493947982788,100.30980253219604,89.23781108856201,179.3524513244629,171.22629976272583,144.34226083755493
H25_a1c,15913.923775196075,16074.476885318756,16169.512310028076,16106.225522994995,16577.1247048378,16168.25263967514
H25_ht,51.052900314331055,6.14084005355835,0.0,7.289209842681885,0.0,12.896590042114259
H25_dl,111.38325071334839,173.28519868850708,95.90397024154663,185.9092526435852,157.33180904388428,144.76269626617432
