,H25_sex,delta_average,H25_age
0,1.0,-0.02549,1
1,1.0,-0.02307,1
2,1.0,-0.022,1
3,1.0,-0.02192,1
4,1.0,-0.02163,1
5,1.0,-0.02135,1
6,1.0,-0.02066,1
7,1.0,-0.01922,1
8,1.0,-0.01852,1
9,1.0,-0.01839,1
10,1.0,-0.01793,1
11,1.0,-0.0174,1
12,1.0,-0.01735,1
13,1.0,-0.01693,1
14,1.0,-0.01689,1
15,1.0,-0.01657,1
16,1.0,-0.01649,1
17,1.0,-0.01647,1
18,1.0,-0.01628,3
19,1.0,-0.01591,1
20,1.0,-0.01566,1
21,1.0,-0.01523,1
22,1.0,-0.01505,1
23,1.0,-0.01493,1
24,1.0,-0.01488,1
25,1.0,-0.01486,2
26,1.0,-0.0147,1
27,1.0,-0.01454,1
28,1.0,-0.01442,2
29,1.0,-0.01428,1
30,1.0,-0.01384,1
31,1.0,-0.01383,1
32,1.0,-0.01376,2
33,1.0,-0.01351,1
34,1.0,-0.01347,3
35,1.0,-0.01345,1
36,1.0,-0.01343,1
37,1.0,-0.01342,1
38,1.0,-0.01336,1
39,1.0,-0.01333,1
40,1.0,-0.01332,1
41,1.0,-0.01325,1
42,1.0,-0.01311,1
43,1.0,-0.01307,1
44,1.0,-0.01296,1
45,1.0,-0.01283,1
46,1.0,-0.01273,1
47,1.0,-0.01266,1
48,1.0,-0.01264,1
49,1.0,-0.01263,1
50,1.0,-0.01262,1
51,1.0,-0.01258,1
52,1.0,-0.01245,1
53,1.0,-0.01241,2
54,1.0,-0.0124,1
55,1.0,-0.01235,1
56,1.0,-0.01228,1
57,1.0,-0.01225,1
58,1.0,-0.01215,1
59,1.0,-0.0121,1
60,1.0,-0.01202,1
61,1.0,-0.01194,1
62,1.0,-0.01182,1
63,1.0,-0.01168,1
64,1.0,-0.0116,1
65,1.0,-0.01155,1
66,1.0,-0.01153,1
67,1.0,-0.01151,1
68,1.0,-0.01143,1
69,1.0,-0.01136,1
70,1.0,-0.01122,2
71,1.0,-0.01115,1
72,1.0,-0.01102,1
73,1.0,-0.01091,1
74,1.0,-0.01085,1
75,1.0,-0.01083,1
76,1.0,-0.01075,1
77,1.0,-0.01069,1
78,1.0,-0.01059,1
79,1.0,-0.01049,1
80,1.0,-0.01046,1
81,1.0,-0.01044,1
82,1.0,-0.01041,1
83,1.0,-0.0104,1
84,1.0,-0.01038,1
85,1.0,-0.01023,1
86,1.0,-0.01021,1
87,1.0,-0.00995,1
88,1.0,-0.00993,1
89,1.0,-0.00992,1
90,1.0,-0.00991,1
91,1.0,-0.0098,1
92,1.0,-0.00978,1
93,1.0,-0.00976,2
