,H25_sex,delta_average,H25_age
0,1.0,-0.00937,1
1,1.0,-0.00935,1
2,1.0,-0.00918,1
3,1.0,-0.00832,1
4,1.0,-0.00818,1
5,1.0,-0.00794,1
6,1.0,-0.00792,1
7,1.0,-0.00769,1
8,1.0,-0.00761,2
9,1.0,-0.00741,1
10,1.0,-0.00736,1
11,1.0,-0.00731,1
12,1.0,-0.00724,1
13,1.0,-0.00723,1
14,1.0,-0.00722,1
15,1.0,-0.00715,1
16,1.0,-0.00705,1
17,1.0,-0.00699,1
18,1.0,-0.00697,1
19,1.0,-0.00677,2
20,1.0,-0.00673,1
21,1.0,-0.00667,1
22,1.0,-0.00657,1
23,1.0,-0.00656,1
24,1.0,-0.00655,1
25,1.0,-0.00652,1
26,1.0,-0.00639,1
27,1.0,-0.00636,1
28,1.0,-0.00632,1
29,1.0,-0.0063,1
30,1.0,-0.00624,1
31,1.0,-0.00622,1
32,1.0,-0.00613,1
33,1.0,-0.00607,1
34,1.0,-0.00602,1
35,1.0,-0.00599,1
36,1.0,-0.00597,1
37,1.0,-0.00593,1
38,1.0,-0.00588,1
39,1.0,-0.00587,2
40,1.0,-0.00586,1
41,1.0,-0.00585,1
42,1.0,-0.00582,2
43,1.0,-0.00578,1
44,1.0,-0.00577,1
45,1.0,-0.00576,2
46,1.0,-0.00568,1
47,1.0,-0.00564,1
48,1.0,-0.0056,1
49,1.0,-0.00557,1
50,1.0,-0.00553,1
51,1.0,-0.00552,2
52,1.0,-0.00551,1
53,1.0,-0.0055,1
54,1.0,-0.00549,1
55,1.0,-0.00548,1
56,1.0,-0.00545,3
57,1.0,-0.00542,1
58,1.0,-0.00541,1
59,1.0,-0.00539,3
60,1.0,-0.00537,1
61,1.0,-0.00534,1
62,1.0,-0.00531,1
63,1.0,-0.00529,2
64,1.0,-0.00527,1
65,1.0,-0.00521,1
66,1.0,-0.00519,2
67,1.0,-0.00518,1
68,1.0,-0.00517,2
69,1.0,-0.00516,1
70,1.0,-0.00512,1
71,1.0,-0.0051,1
72,1.0,-0.00509,3
73,1.0,-0.00507,3
74,1.0,-0.00506,1
75,1.0,-0.00503,2
76,1.0,-0.00502,1
77,1.0,-0.005,1
78,1.0,-0.00498,2
79,1.0,-0.00496,1
80,1.0,-0.00495,2
81,1.0,-0.00494,1
82,1.0,-0.00493,2
83,1.0,-0.00492,3
84,1.0,-0.00489,1
85,1.0,-0.00487,1
86,1.0,-0.00483,2
87,1.0,-0.00482,1
88,1.0,-0.0048,1
89,1.0,-0.00479,1
90,1.0,-0.00477,1
91,1.0,-0.00476,3
92,1.0,-0.00474,1
93,1.0,-0.00472,2
94,1.0,-0.00469,1
95,1.0,-0.00468,1
96,1.0,-0.00467,2
97,1.0,-0.00465,1
98,1.0,-0.00464,2
99,1.0,-0.00463,2
100,1.0,-0.00461,1
101,1.0,-0.00459,3
102,1.0,-0.00457,3
103,1.0,-0.00456,1
104,1.0,-0.00455,4
105,1.0,-0.00454,2
106,1.0,-0.00453,2
107,1.0,-0.00452,1
108,1.0,-0.00448,1
109,1.0,-0.00447,2
110,1.0,-0.00446,1
111,1.0,-0.00445,4
112,1.0,-0.00444,1
113,1.0,-0.00442,3
114,1.0,-0.00441,1
115,1.0,-0.00439,3
116,1.0,-0.00437,1
117,1.0,-0.00435,1
118,1.0,-0.00434,2
119,1.0,-0.00433,1
120,1.0,-0.00432,2
121,1.0,-0.00431,1
122,1.0,-0.00429,2
123,1.0,-0.00428,1
124,1.0,-0.00427,1
125,1.0,-0.00426,1
126,1.0,-0.00425,2
127,1.0,-0.00424,3
128,1.0,-0.00423,2
129,1.0,-0.00422,1
130,1.0,-0.00421,2
131,1.0,-0.0042,1
132,1.0,-0.00419,2
133,1.0,-0.00418,6
134,1.0,-0.00417,5
135,1.0,-0.00416,1
136,1.0,-0.00415,1
137,1.0,-0.00414,1
138,1.0,-0.00413,2
139,1.0,-0.00412,1
140,1.0,-0.00411,1
141,1.0,-0.0041,3
142,1.0,-0.00409,1
143,1.0,-0.00408,4
144,1.0,-0.00407,5
145,1.0,-0.00406,3
146,1.0,-0.00404,3
147,1.0,-0.00402,1
148,1.0,-0.004,1
149,1.0,-0.00399,4
150,1.0,-0.00398,1
151,1.0,-0.00397,3
152,1.0,-0.00396,2
153,1.0,-0.00395,2
154,1.0,-0.00394,2
155,1.0,-0.00393,3
156,1.0,-0.00392,2
157,1.0,-0.00391,2
158,1.0,-0.0039,2
159,1.0,-0.00389,1
160,1.0,-0.00388,1
161,1.0,-0.00387,2
162,1.0,-0.00384,2
163,1.0,-0.00383,2
164,1.0,-0.00382,1
165,1.0,-0.00381,2
166,1.0,-0.0038,1
167,1.0,-0.00378,2
168,1.0,-0.00377,3
169,1.0,-0.00376,2
170,1.0,-0.00375,4
171,1.0,-0.00374,1
172,1.0,-0.00373,4
173,1.0,-0.00372,2
174,1.0,-0.00371,5
175,1.0,-0.0037,2
176,1.0,-0.00369,6
177,1.0,-0.00367,4
178,1.0,-0.00366,1
179,1.0,-0.00365,4
180,1.0,-0.00364,1
181,1.0,-0.00363,4
182,1.0,-0.00362,3
183,1.0,-0.00361,3
184,1.0,-0.0036,3
185,1.0,-0.00359,1
186,1.0,-0.00358,3
187,1.0,-0.00357,3
188,1.0,-0.00356,3
189,1.0,-0.00355,1
190,1.0,-0.00354,2
191,1.0,-0.00353,1
192,1.0,-0.00352,5
193,1.0,-0.00351,3
194,1.0,-0.0035,2
195,1.0,-0.00349,2
196,1.0,-0.00348,5
197,1.0,-0.00347,4
198,1.0,-0.00346,3
199,1.0,-0.00345,4
200,1.0,-0.00344,8
201,1.0,-0.00343,6
202,1.0,-0.00342,3
203,1.0,-0.00341,3
204,1.0,-0.0034,4
205,1.0,-0.00339,4
206,1.0,-0.00338,3
207,1.0,-0.00337,3
208,1.0,-0.00336,4
209,1.0,-0.00335,5
210,1.0,-0.00334,3
211,1.0,-0.00333,5
212,1.0,-0.00332,3
213,1.0,-0.00331,5
214,1.0,-0.0033,7
215,1.0,-0.00329,4
216,1.0,-0.00328,2
217,1.0,-0.00327,1
218,1.0,-0.00326,1
219,1.0,-0.00325,8
220,1.0,-0.00324,2
221,1.0,-0.00323,3
222,1.0,-0.00322,4
223,1.0,-0.00321,2
224,1.0,-0.0032,5
225,1.0,-0.00319,2
226,1.0,-0.00318,5
227,1.0,-0.00317,5
228,1.0,-0.00316,2
229,1.0,-0.00315,6
230,1.0,-0.00314,5
231,1.0,-0.00312,9
232,1.0,-0.00311,5
233,1.0,-0.0031,1
234,1.0,-0.00309,8
235,1.0,-0.00308,5
236,1.0,-0.00307,4
237,1.0,-0.00306,2
238,1.0,-0.00305,3
239,1.0,-0.00304,4
240,1.0,-0.00303,6
241,1.0,-0.00302,5
242,1.0,-0.00301,3
243,1.0,-0.003,5
244,1.0,-0.00299,3
