feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
H25_age,2916.929117202759,2678.9206972122192,2585.9876041412354,2401.1372871398926,2531.772494316101,2622.9494400024414
H25_sex,33.984299659729004,125.84250259399414,87.01370048522949,304.6785011291504,127.24009895324707,135.75182056427002
H25_bmi,574.8683948516846,891.9143028259277,862.6109867095947,861.817608833313,769.7980937957764,792.2018774032592
H25_dbp,416.55039978027344,163.0910987854004,491.980899810791,344.14000034332275,278.39129734039307,338.8307392120361
H25_sbp,474.2150020599365,402.2333917617798,525.7112998962402,406.29380226135254,351.3904037475586,431.9687799453735
H25_lhrate,6108.648946762085,5722.38031578064,6174.119936943054,6251.591686248779,6281.602919578552,6107.668761062622
H25_a1c,1492.0944986343384,1141.9431085586548,1125.5062007904053,1086.1867218017578,1459.9639043807983,1261.138886833191
H25_ht,136.91709899902344,397.6331033706665,248.62710285186768,311.5145969390869,239.41200065612793,266.8207805633545
H25_dm,0.0,0.0,0.0,0.0,0.0,0.0
